Time,Mob dist,Thresh,Anomaly
2014-02-21 09:49:57.523,18.628565620886462,0.8729590070514684,True
2014-02-21 15:23:12.951,10.99107715586907,0.8729590070514684,True
2014-02-21 15:29:57.507,11.687886810429319,0.8729590070514684,True
2014-02-21 17:49:57.487,10.612845783496379,0.8729590070514684,True
2014-02-25 16:35:34.607,7.853612920265144,0.8729590070514684,True
2014-02-27 14:24:55.507,4.979179225288511,0.8729590070514684,True
2014-02-27 14:35:34.114,2.7938622676621914,0.8729590070514684,True
2014-02-27 15:55:34.130,1.4135428414478604,0.8729590070514684,True
2014-03-03 11:17:52.814,0.6483192057717004,0.8729590070514684,False
2014-03-03 16:37:52.738,0.26821602309868287,0.8729590070514684,False
2014-03-05 11:17:52.170,0.11416631680545929,0.8729590070514684,False
2014-03-06 09:20:34.957,0.09433200317774715,0.8729590070514684,False
2014-03-07 16:34:48.819,0.10740749367266499,0.8729590070514684,False
2014-03-12 10:41:36.976,0.11627287255888132,0.8729590070514684,False
2014-03-12 10:56:38.126,0.12052313830475256,0.8729590070514684,False
2014-03-20 16:16:25.380,0.12241203268085131,0.8729590070514684,False
2014-03-20 16:36:25.397,0.12323148462181242,0.8729590070514684,False
2014-03-24 15:58:15.327,0.12358387280705994,0.8729590070514684,False
2014-03-26 09:38:14.734,0.12373394672703758,0.8729590070514684,False
2014-03-26 14:38:14.669,0.1237955456773911,0.8729590070514684,False
2014-03-26 17:58:14.623,0.1238165987349834,0.8729590070514684,False
2014-03-31 11:13:54.672,0.12381713357998236,0.8729590070514684,False
2014-04-01 15:34:36.215,0.12380691067337433,0.8729590070514684,False
2014-04-02 10:48:15.658,0.12379301979438205,0.8729590070514684,False
2014-04-06 18:35:47.709,0.12378245449792345,0.8729590070514684,False
2014-04-15 10:55:45.874,0.12378152530247892,0.8729590070514684,False
2014-04-15 11:15:45.839,0.12379337966452697,0.8729590070514684,False
2014-04-15 14:50:30.529,0.12381583169379567,0.8729590070514684,False
2014-04-15 15:56:25.792,0.1238411866133379,0.8729590070514684,False
2014-04-16 09:46:23.226,0.12385653089035621,0.8729590070514684,False
2014-04-16 10:01:08.320,0.1238502808903352,0.8729590070514684,False
2014-04-16 10:10:00.431,0.12381359132082168,0.8729590070514684,False
2014-04-25 10:00:12.282,0.12374156825179877,0.8729590070514684,False
2014-04-25 10:22:06.720,0.1236345086713447,0.8729590070514684,False
2014-04-25 19:21:50.129,0.12349713429776553,0.8729590070514684,False
2014-04-29 13:41:48.876,0.12333714158394843,0.8729590070514684,False
2014-04-29 14:21:48.925,0.12316390062824159,0.8729590070514684,False
2014-05-16 09:01:54.966,0.1229875191124364,0.8729590070514684,False
2014-05-28 12:24:13.555,0.12281775891383545,0.8729590070514684,False
2014-05-30 22:44:15.900,0.12266302309102801,0.8729590070514684,False
2014-06-04 07:24:12.459,0.12252982160045153,0.8729590070514684,False
2014-06-10 17:30:42.664,0.1224218025657175,0.8729590070514684,False
2014-06-12 17:50:42.885,0.12234019207835352,0.8729590070514684,False
2014-06-21 07:05:06.005,0.12228368837258347,0.8729590070514684,False
2014-06-27 11:55:54.015,0.12224913792246238,0.8729590070514684,False
2014-06-27 12:18:35.077,0.12223238733156135,0.8729590070514684,False
2014-07-02 11:58:33.481,0.12222889887226597,0.8729590070514684,False
2014-07-04 17:58:32.940,0.12223457399527614,0.8729590070514684,False
2014-07-08 15:18:31.571,0.12224605697918244,0.8729590070514684,False
2014-07-16 17:38:39.852,0.12226084165894353,0.8729590070514684,False
2014-07-18 10:38:40.100,0.12227718884493276,0.8729590070514684,False
2014-07-28 15:17:06.952,0.12229407439933847,0.8729590070514684,False
2014-07-29 11:17:07.788,0.12231099792593017,0.8729590070514684,False
2014-08-06 15:17:05.494,0.12232790806737864,0.8729590070514684,False
2014-08-08 10:37:05.582,0.12234513681398786,0.8729590070514684,False
2014-08-11 21:37:05.811,0.1223632869052276,0.8729590070514684,False
2014-08-11 22:17:05.835,0.12238302837165646,0.8729590070514684,False
2014-08-22 10:00:31.503,0.12240486131346336,0.8729590070514684,False
2014-08-22 10:30:12.161,0.12242868882425635,0.8729590070514684,False
2014-08-22 12:00:31.368,0.12245344787167309,0.8729590070514684,False
2014-08-22 12:40:31.345,0.12247700868420941,0.8729590070514684,False
2014-08-26 16:20:30.385,0.12249626093596118,0.8729590070514684,False
2014-08-26 16:40:30.451,0.12250808512242174,0.8729590070514684,False
2014-08-28 13:00:30.223,0.12251058524312229,0.8729590070514684,False
2014-08-30 09:20:29.975,0.12250447750547899,0.8729590070514684,False
2014-08-30 10:40:29.988,0.12249454615067071,0.8729590070514684,False
2014-08-30 12:32:20.965,0.12249050777258025,0.8729590070514684,False
2014-09-05 07:23:01.617,0.12250701883223161,0.8729590070514684,False
2014-09-05 08:03:03.166,0.12256242271173576,0.8729590070514684,False
2014-09-07 16:43:01.627,0.12267668896067624,0.8729590070514684,False
2014-09-23 08:45:25.021,0.12286913771531859,0.8729590070514684,False
2014-09-27 16:51:52.968,0.12315567155896222,0.8729590070514684,False
2014-10-06 20:25:18.350,0.12354815436347553,0.8729590070514684,False
2014-10-08 18:05:18.083,0.12405334073839105,0.8729590070514684,False
2014-10-16 14:05:47.369,0.12467054168301409,0.8729590070514684,False
2014-10-23 11:25:45.095,0.12538983529926753,0.8729590070514684,False
2014-10-23 11:25:46.884,0.1261878428309855,0.8729590070514684,False
2014-10-23 11:45:46.822,0.12702501068603675,0.8729590070514684,False
2014-10-29 12:05:44.516,0.12784697966145145,0.8729590070514684,False
