Time,Loss_mae,Threshold,Anomaly
2013-12-12 14:53:33.631,0.5154529588994076,1.4279655256534816,False
2013-12-18 00:03:41.299,0.5161577244798142,1.4279655256534816,False
2014-01-22 17:05:16.503,0.5047897981395705,1.4279655256534816,False
2014-01-23 11:45:10.475,0.4715812770872005,1.4279655256534816,False
2014-01-23 12:41:28.159,0.4648089458112737,1.4279655256534816,False
2014-01-23 18:22:01.615,0.47442849473751986,1.4279655256534816,False
2014-01-24 12:45:02.335,0.49688877979012486,1.4279655256534816,False
2014-01-24 16:05:01.200,0.5190167401495205,1.4279655256534816,False
2014-01-31 12:24:08.024,0.5279374226696293,1.4279655256534816,False
2014-01-31 14:24:07.436,0.5216606169222583,1.4279655256534816,False
2014-02-18 16:22:14.066,0.5262101884629208,1.4279655256534816,False
2014-02-21 15:21:50.867,0.5701808363437786,1.4279655256534816,False
2014-02-21 15:41:50.712,0.5744625586316753,1.4279655256534816,False
2014-02-21 17:41:50.031,0.5458952335517423,1.4279655256534816,False
2014-02-25 16:01:19.239,0.5443964819457173,1.4279655256534816,False
2014-02-25 16:21:19.111,0.5496169171145585,1.4279655256534816,False
2014-02-27 14:24:09.275,0.5330678768538788,1.4279655256534816,False
2014-02-27 14:41:03.918,0.5321881804420655,1.4279655256534816,False
2014-02-27 16:01:03.518,0.5426125973029116,1.4279655256534816,False
2014-03-03 14:28:28.844,0.5804442619670728,1.4279655256534816,False
2014-03-03 17:00:31.721,0.6003502538496407,1.4279655256534816,False
2014-03-05 11:20:17.921,0.5705990346904776,1.4279655256534816,False
2014-03-07 16:40:00.553,0.5303595328736701,1.4279655256534816,False
2014-03-20 16:15:29.018,0.520505010691486,1.4279655256534816,False
2014-03-20 16:38:18.878,0.5244310028172803,1.4279655256534816,False
2014-03-24 15:57:47.669,0.4915889842039595,1.4279655256534816,False
2014-03-25 14:07:11.492,0.48368047648042806,1.4279655256534816,False
2014-03-25 14:24:21.314,0.5713682983151527,1.4279655256534816,False
2014-03-27 08:20:23.768,0.5636834233479109,1.4279655256534816,False
2014-03-27 19:46:28.332,0.7064910587584498,1.4279655256534816,False
2014-04-07 10:40:28.335,0.6860183478819698,1.4279655256534816,False
2014-04-07 10:52:23.570,0.6571203451641452,1.4279655256534816,False
2014-04-07 11:12:53.054,0.6535249514598253,1.4279655256534816,False
2014-04-11 11:28:56.698,0.5369735659812468,1.4279655256534816,False
2014-04-11 12:01:00.664,0.4717814185953713,1.4279655256534816,False
2014-04-15 11:00:14.369,0.44169392193707746,1.4279655256534816,False
2014-04-15 11:20:14.266,0.40732989952432236,1.4279655256534816,False
2014-04-25 19:18:53.165,0.356734461899243,1.4279655256534816,False
2014-04-29 13:38:23.634,0.356545679901677,1.4279655256534816,False
2014-04-29 14:18:23.435,0.3939309447124841,1.4279655256534816,False
2014-05-28 12:34:36.151,0.42906394805457015,1.4279655256534816,False
2014-06-12 17:52:35.653,0.4456743149627487,1.4279655256534816,False
2014-06-21 06:51:27.858,0.44648867236561146,1.4279655256534816,False
2014-06-27 11:55:23.555,0.4558323362574395,1.4279655256534816,False
2014-06-27 12:10:38.360,0.4738056223825245,1.4279655256534816,False
2014-07-02 10:30:01.228,0.4783157465302645,1.4279655256534816,False
2014-07-04 17:49:41.057,0.4877064104260184,1.4279655256534816,False
2014-07-08 15:29:10.188,0.5200932245472593,1.4279655256534816,False
2014-07-15 17:08:14.356,0.5476444937402699,1.4279655256534816,False
2014-07-16 17:48:06.127,0.5484223463419429,1.4279655256534816,False
2014-07-18 10:27:52.650,0.538876958445745,1.4279655256534816,False
2014-07-28 15:26:31.660,0.5603943368697883,1.4279655256534816,False
2014-07-29 11:26:27.034,0.6221713315389535,1.4279655256534816,False
2014-08-06 15:05:20.301,0.6094295638453716,1.4279655256534816,False
2014-08-08 10:25:05.965,0.5679271030899972,1.4279655256534816,False
2014-08-11 21:26:30.687,0.5572976917301977,1.4279655256534816,False
2014-08-11 22:24:38.128,0.6548764227181821,1.4279655256534816,False
2014-08-22 10:03:17.314,0.9653278457593902,1.4279655256534816,False
2014-08-22 10:35:52.707,0.8155852761242528,1.4279655256534816,False
2014-08-22 12:03:14.612,0.5551275885162235,1.4279655256534816,False
2014-08-22 12:23:14.509,0.6417777134267237,1.4279655256534816,False
2014-08-26 16:42:41.482,0.6398310142537006,1.4279655256534816,False
2014-08-28 12:42:27.004,0.6148510373964714,1.4279655256534816,False
2014-08-28 13:02:26.937,0.6076519965292431,1.4279655256534816,False
2014-08-30 09:22:12.273,0.6045556313502468,1.4279655256534816,False
2014-08-30 10:01:18.702,0.597439858300118,1.4279655256534816,False
2014-08-30 10:42:11.893,0.5951580093092471,1.4279655256534816,False
2014-08-30 12:42:13.160,0.6303319332391132,1.4279655256534816,False
2014-09-05 07:21:27.573,0.730834248511475,1.4279655256534816,False
2014-09-05 08:01:27.321,0.9541549561711494,1.4279655256534816,False
2014-09-12 08:00:29.719,0.7147458561054609,1.4279655256534816,False
2014-09-13 21:00:17.554,0.6628882425209163,1.4279655256534816,False
2014-09-19 08:47:36.434,0.7316762212886485,1.4279655256534816,False
2014-09-19 08:55:38.448,0.6811999114988702,1.4279655256534816,False
2014-09-19 09:01:58.802,0.6579964427646815,1.4279655256534816,False
2014-10-08 17:58:17.859,0.6869472088713134,1.4279655256534816,False
2014-10-16 14:17:16.166,0.6621940256018521,1.4279655256534816,False
2014-10-23 11:16:22.217,0.6449391279717731,1.4279655256534816,False
2014-10-23 11:56:22.031,0.6827817781075637,1.4279655256534816,False
