,Loss_mae,Threshold,Anomaly
2013-12-13 21:02:30,0.016274512956971958,0.03518939953769464,False
2013-12-15 04:47:06,0.01152591486522032,0.03518939953769464,False
2013-12-15 15:37:55,0.013053057692581183,0.03518939953769464,False
2013-12-15 21:58:12,0.01423685869093536,0.03518939953769464,False
2013-12-22 02:49:28,0.011064322516428776,0.03518939953769464,False
2013-12-22 09:08:01,0.011242668283350798,0.03518939953769464,False
2013-12-27 04:56:08,0.007056248178375179,0.03518939953769464,False
2013-12-28 19:18:16,0.0204352295891679,0.03518939953769464,False
2013-12-29 03:09:37,0.013804765612156827,0.03518939953769464,False
2013-12-29 18:37:27,0.014849621980612659,0.03518939953769464,False
2013-12-31 07:49:04,0.00437542764966784,0.03518939953769464,False
2014-01-03 17:17:31,0.008972847762295,0.03518939953769464,False
2014-01-08 14:50:37,0.007475925668429917,0.03518939953769464,False
2014-01-09 15:44:34,0.005896437426491341,0.03518939953769464,False
2014-01-10 02:14:37,0.00941378855749827,0.03518939953769464,False
2014-01-10 16:21:47,0.008732293299530897,0.03518939953769464,False
2014-01-12 13:53:47,0.01157809274041765,0.03518939953769464,False
2014-01-13 17:08:11,0.0110909308323274,0.03518939953769464,False
2014-01-14 00:47:02,0.012467671591021124,0.03518939953769464,False
2014-01-15 15:23:42,0.006909060331841477,0.03518939953769464,False
2014-01-16 00:05:41,0.010111648837141895,0.03518939953769464,False
2014-01-16 13:38:57,0.004646426887156174,0.03518939953769464,False
2014-01-17 10:02:10,0.00686442230169001,0.03518939953769464,False
2014-01-18 03:22:22,0.0073857675311950755,0.03518939953769464,False
2014-01-18 14:27:34,0.005390310081911653,0.03518939953769464,False
2014-01-18 14:50:43,0.005859334661517712,0.03518939953769464,False
2014-01-23 07:07:35,0.008211587168982914,0.03518939953769464,False
2014-01-23 19:44:55,0.01087720824720132,0.03518939953769464,False
2014-01-23 20:13:18,0.008204779319979427,0.03518939953769464,False
2014-01-26 16:21:30,0.008476622700101289,0.03518939953769464,False
2014-01-28 21:08:53,0.005883578375245407,0.03518939953769464,False
2014-02-02 10:05:25,0.0087888082929034,0.03518939953769464,False
2014-02-03 09:05:23,0.009029382928534908,0.03518939953769464,False
2014-02-04 15:31:26,0.014676887405730038,0.03518939953769464,False
2014-02-05 01:14:48,0.010222522908675164,0.03518939953769464,False
2014-02-06 12:22:34,0.01326519756728809,0.03518939953769464,False
2014-02-08 03:36:54,0.00489198930499739,0.03518939953769464,False
2014-02-09 10:20:46,0.008722157338077819,0.03518939953769464,False
2014-02-09 16:59:08,0.010739153052256135,0.03518939953769464,False
2014-02-11 20:08:51,0.01177322364136275,0.03518939953769464,False
2014-02-12 20:21:22,0.007895086900098925,0.03518939953769464,False
2014-02-13 06:15:15,0.016416952352612323,0.03518939953769464,False
2014-02-16 15:23:35,0.012640749845280219,0.03518939953769464,False
2014-02-17 10:38:56,0.015648396064293503,0.03518939953769464,False
2014-02-19 10:08:24,0.00850098982487162,0.03518939953769464,False
2014-02-22 03:38:46,0.01874212780108987,0.03518939953769464,False
2014-02-25 05:05:23,0.008482186925449931,0.03518939953769464,False
2014-03-03 17:51:44,0.011756783050302911,0.03518939953769464,False
2014-03-04 06:06:36,0.010199049176226332,0.03518939953769464,False
2014-03-04 07:11:01,0.01125819110671546,0.03518939953769464,False
2014-03-04 19:10:35,0.015156827419687763,0.03518939953769464,False
2014-03-06 09:12:39,0.01705299184249674,0.03518939953769464,False
2014-03-09 13:27:08,0.017481931700984204,0.03518939953769464,False
2014-03-12 01:15:05,0.015077193090866659,0.03518939953769464,False
2014-03-15 04:41:41,0.019761897748292557,0.03518939953769464,False
2014-03-16 16:54:54,0.010577359845007328,0.03518939953769464,False
2014-03-16 21:50:51,0.006935545905761365,0.03518939953769464,False
2014-03-17 03:00:10,0.0067773506724954245,0.03518939953769464,False
2014-03-18 21:42:55,0.008408980206447241,0.03518939953769464,False
2014-03-21 21:58:50,0.006333334720232331,0.03518939953769464,False
2014-03-24 03:32:32,0.008824338329457398,0.03518939953769464,False
2014-03-24 13:03:09,0.008412979722037367,0.03518939953769464,False
